tla,active_licensed_count_geo_cohort
AUCKLAND,2522.6476868989334
ASHBURTON DISTRICT,1768.4185532470422
MARLBOROUGH DISTRICT,1412.725332323812
SOUTHLAND DISTRICT,1365.755014816496
MATAMATA-PIAKO DISTRICT,1090.7584351102657
TIMARU DISTRICT,1073.3620645523085
CHRISTCHURCH CITY,910.1734148153114
TASMAN DISTRICT,867.4018318497768
HAMILTON CITY,861.3303299622937
INVERCARGILL CITY,845.8582487367748
WAIPA DISTRICT,842.1311317947483
HASTINGS DISTRICT,771.715707507632
PALMERSTON NORTH CITY,742.2003726826492
WAIKATO DISTRICT,733.0244464761621
WAITAKI DISTRICT,695.7185928295519
WHANGAREI DISTRICT,622.474158220621
GORE DISTRICT,621.708268833004
SELWYN DISTRICT,605.2364023843221
WESTERN BAY OF PLENTY DISTRICT,570.1393602762987
SOUTH TARANAKI DISTRICT,554.1043118424678
CLUTHA DISTRICT,536.8436572920551
NEW PLYMOUTH DISTRICT,522.8698128912623
WAIMAKARIRI DISTRICT,504.49314479555045
GISBORNE DISTRICT,499.9477273352256
CENTRAL OTAGO DISTRICT,466.6735547544266
ROTORUA DISTRICT,429.3775589953328
DUNEDIN CITY,429.1766313633356
FAR NORTH DISTRICT,412.1981170378139
MANAWATU DISTRICT,383.85424213771716
TAURANGA CITY,382.90321117359457
SOUTH WAIKATO DISTRICT,382.18327962106935
HOROWHENUA DISTRICT,382.0303802628414
TARARUA DISTRICT,378.705649823266
WAIMATE DISTRICT,363.9157421872828
RANGITIKEI DISTRICT,352.9365159755315
WHAKATANE DISTRICT,328.4003380044102
HURUNUI DISTRICT,323.0483083805041
KAIPARA DISTRICT,296.01092131368426
WELLINGTON CITY,291.4565910845867
HAURAKI DISTRICT,288.31324739714904
OTOROHANGA DISTRICT,268.1601323338539
TAUPO DISTRICT,263.8735117389749
THAMES-COROMANDEL DISTRICT,244.26061529131633
NAPIER CITY,238.35624012685435
CENTRAL HAWKE'S BAY DISTRICT,211.98485858825947
QUEENSTOWN-LAKES DISTRICT,210.06784800587596
MASTERTON DISTRICT,197.96278148443693
MACKENZIE DISTRICT,187.64536645461394
SOUTH WAIRARAPA DISTRICT,181.1729323792199
STRATFORD DISTRICT,177.6673663648457
WHANGANUI DISTRICT,168.71484389683744
RUAPEHU DISTRICT,165.2359028323873
WAITOMO DISTRICT,139.82174788251137
CARTERTON DISTRICT,126.71010234723923
KAPITI COAST DISTRICT,119.0750785703793
OPOTIKI DISTRICT,117.94899746470635
GREY DISTRICT,115.41982084328679
NELSON CITY,111.553956116831
BULLER DISTRICT,110.98841930741162
WESTLAND DISTRICT,110.9420734444769
,97.837698363553
WAIROA DISTRICT,63.727488755382645
KAIKOURA DISTRICT,60.346659766729076
PORIRUA CITY,50.55605365856728
LOWER HUTT CITY,39.25878314438331
UPPER HUTT CITY,36.46012970208081
KAWERAU DISTRICT,5.028294147873955
